AccYear,AccNo,AccNoFull,ItemNo,TaxonName,Genus,Species,InfraType1,InfraName1,InfraType2,InfraName2,Family,ProvenanceCode,ContactCode,ContactNameFull,ItemLocationCode,ItemCoordLatDD,ItemCoordLongDD,ItemCoordX,ItemCoordY,ItemComment,AtrA_Garden_coll,PopNo,PopSpecNo,CollNo,CollDate,Collector,AccComment,CountryCode,CountryName,Subdiv1,Subdiv2,Locality,LocExtRef,Habitat,AltitudeFrom,AltitudeTo,AltitudeUnit,CoordLatDD,CoordLongDD,Datum,ItemType,ItemStatus,TaxonDistribution,OriginName,OriginRef,RecDate,Parent1TaxonName
2016,35,20160035,A,Triticum spelta,Triticum,spelta,,,,,Poaceae,G,6266,NIAB,SW8-33,52.192802,0.12509,52.192802,0.12509,Annual,,,,,,,,,,,,,,,,,,,,,Planting,Inspected,N Europe,NIAB,,2015,
2016,187,20160187,A,Festuca glauca,Festuca,glauca,,,,,Poaceae,G,6860,Seedaholic,SW8-33,52.192745,0.125132,52.192745,0.125132,GROWN FROM SEEDS,,,,,,,,,,,,,,,,,,,,,Planting,Inspected,S Europe & N Africa,Seedaholic,,2016-03-07,
2016,194,20160194,B,Briza maxima,Briza,maxima,,,,,Poaceae,G,5846,Chiltern Seeds,SW8-33,52.192739,0.125084,52.192739,0.125084,Annual,,,,,,,,,,,,,,,,,,,,,Planting,Inspected,Mediterranean,Chiltern Seeds,,2016-02-15,
2016,499,20160499,A,Panicum miliaceum,Panicum,miliaceum,,,,,Poaceae,G,6869,"Harriet Hunt, Archaebotany Group, McDonald Institute for Archaeological Research",SW8-33,52.192773,0.125078,52.192773,0.125078,From plant science,,,,,,,Notes: Landrace NW China.,,,,,,,,,,,,,,Planting,Inspected,C Asia,"Hunt, H.",,2016-04-18,
2016,500,20160500,A,Setaria italica,Setaria,italica,,,,,Poaceae,G,6869,"Harriet Hunt, Archaebotany Group, McDonald Institute for Archaeological Research",SW8-33,52.192776,0.125108,52.192776,0.125108,From plant science,,,,,,,Notes: Landrace Turkey.,,,,,,,,,,,,,,Planting,Inspected,Asia,"Hunt, H.",,2016-04-18,
2016,508,20160508,B,Piptatherum miliaceum,Piptatherum,miliaceum,,,,,Poaceae,G,6834,"David Austrin, CUBG",SW8-34,52.19273,0.125062,52.19273,0.125062,,,,,,,,,,,,,,,,,,,,,,Planting,Planted,Mediterranean region,"Austrin, D",,2016-04-25,
2017,2524,20172524,B,Panicum miliaceum,Panicum,miliaceum,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,,,,,annual label,,,,,2016-03-02,,For seed bank,,,,,,,,,,,,,,Planting,Planted,C Asia,CUBG,,2017-05-11,
2017,2634,20172634,B,Hordeum spontaneum,Hordeum,spontaneum,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,,,,,Annual wild barley,,,,,2016,,,,,,,,,,,,,,,,Planting,Planted,E. Medit. to C. Asia and China,CUBG,,2017-06-21,
2017,2652,20172652,B,Setaria italica,Setaria,italica,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,,,,,annual label,,,,,2016,,,,,,,,,,,,,,,,Planting,Planted,Asia,CUBG,,2017-07-07,
2017,2659,20172659,B,Triticum spelta,Triticum,spelta,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,,,,,Annual spelt,,,,,2016,,,,,,,,,,,,,,,,Planting,Planted,N Europe,CUBG,,2017-07-07,
2019,833,20190833,B,Triticum aestivum 'April Bearded',Triticum,aestivum,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,,,,,,,,,,,,,,,,,,,,,,,,,,Planting,Planted,Garden origin,CUBG,,,
2019,1045,20191045,B,Phalaris canariensis,Phalaris,canariensis,,,,,Poaceae,G,5846,Chiltern Seeds,SW8-33,,,,,Annual,,,,,,,,,,,,,,,,,,,,,Planting,Planted,"Canary Is., Morocco",Chiltern Seeds,,,
