TaxonName,Family,AccNoFull,ItemNo,ItemLocationCode,ItemStatus,ItemStatusDate,Lifeform,Longevity,Group
Gymnocladus dioica,Fabaceae,19660759,A,SW12,Seen,4/17/2020,Tree,Perennial,Dicot
Hamamelis virginiana,Hamamelidaceae,10006307,A,NW28-12,Planted,2/26/2020,Tree,Perennial,Dicot
Hamamelis virginiana,Hamamelidaceae,197021133,A,SW15,Seen,4/17/2020,Tree,Perennial,Dicot
Iris missouriensis,Iridaceae,19830030,A,NW11-6,Inspected,5/17/2017,Herbaceous,Perennial,Monocot
Iris missouriensis,Iridaceae,19830030,B,NW28-8,Repotted,7/18/2019,Herbaceous,Perennial,Monocot
Iris missouriensis,Iridaceae,20180113,B,NW8-1,Planted,1/25/2021,Herbaceous,Perennial,Monocot
Kalanchoe rotundifolia,Crassulaceae,20190711,A,NW15-10.3,Planted,5/3/2021,Herbaceous,Perennial,Dicot
Koeleria macrantha,Poaceae,20172352,A,NW26-11,Inspected,6/14/2019,Herbaceous,Perennial,Grass
Liquidambar styraciflua,Altingiaceae,10005806,A,SW13,Seen,4/17/2020,Tree,Perennial,Dicot
Liquidambar styraciflua,Altingiaceae,19550386,A,NE13-1,Seen,4/1/2020,Tree,Perennial,Dicot
Lupinus argenteus,Fabaceae,19920140,A,SW9-1,Planted,5/24/2019,Herbaceous,Perennial,Dicot
Lygodium japonicum,Lygodiaceae,10006823,A,NW26-7,Moved,3/29/2019,Herbaceous,Perennial,Pteridophyte
Lygodium japonicum,Lygodiaceae,10006823,B,NW26-7,Inspected,3/5/2018,Herbaceous,Perennial,Pteridophyte
Lygodium japonicum,Lygodiaceae,20150047,A,NW15-13.3,Planted,5/6/2019,Herbaceous,Perennial,Pteridophyte
Magnolia grandiflora,Magnoliaceae,10005783,A,NW12,Seen,3/26/2020,Tree,Perennial,Dicot
Magnolia grandiflora,Magnoliaceae,19690143,A,NW12,Seen,3/26/2020,Tree,Perennial,Dicot
Magnolia grandiflora,Magnoliaceae,20100730,A,NW12,Seen,3/27/2020,Tree,Perennial,Dicot
Magnolia grandiflora,Magnoliaceae,20100730,B,NW12,Seen,3/27/2020,Tree,Perennial,Dicot
Magnolia grandiflora,Magnoliaceae,20100730,C,NW12,Seen,3/27/2020,Tree,Perennial,Dicot
Magnolia grandiflora,Magnoliaceae,20100730,D,NW12,Seen,3/27/2020,Tree,Perennial,Dicot
Magnolia grandiflora,Magnoliaceae,20180279,A,SW4,Seen,4/9/2020,Tree,Perennial,Dicot
Malva neglecta,Malvaceae,20191194,A,SW5-15,Propagation,3/11/2020,Herbaceous,Annual,Dicot
Menispermum canadense,Menispermaceae,19604421,A,NW26-11,Inspected,6/13/2019,Woody Vine,Perennial,Dicot
Monarda bradburiana,Lamiaceae,20130096,A,NW17-11,Inspected,6/18/2018,Herbaceous,Perennial,Dicot
Monarda fistulosa,Lamiaceae,20130227,A,NW17-11,Planted,5/4/2017,Herbaceous,Perennial,Dicot
Monarda fistulosa,Lamiaceae,20130227,B,NW17-12,Planted,5/4/2017,Herbaceous,Perennial,Dicot
Monarda fistulosa,Lamiaceae,20130227,C,NW26-12,Repotted,8/27/2020,Herbaceous,Perennial,Dicot
Nassella tenuissima,Poaceae,19970996,A,NE7-2,Planted,11/8/2017,Herbaceous,Perennial,Grass
Nassella tenuissima,Poaceae,19970996,C,NE7-1,Planted,11/8/2017,Herbaceous,Perennial,Grass
Nassella tenuissima,Poaceae,20110210,A,SW8-33,Inspected,9/18/2019,Herbaceous,Perennial,Grass
Nassella tenuissima,Poaceae,20110439,A,NE4,Planted,2011-03,Herbaceous,Perennial,Grass
Nassella tenuissima,Poaceae,20120084,B,SE7-6,Inspected,7/11/2018,Herbaceous,Perennial,Grass
Nassella tenuissima,Poaceae,20120084,C,SE7-7,Inspected,7/9/2018,Herbaceous,Perennial,Grass
Nassella tenuissima,Poaceae,20120084,D,SE7-8,Planted,7/9/2018,Herbaceous,Perennial,Grass
Nassella tenuissima,Poaceae,20120084,E,NE19-6,Planted,1/20/2020,Herbaceous,Perennial,Grass
Oenothera speciosa,Onagraceae,19990059,A,NW11-6,Inspected,5/17/2017,Herbaceous,Perennial,Dicot
